,DRÜCK MICH!,,,,,,,,,,,,,,,,
Einwohnerzahl,Kommune,"Homepage 
Kommune",PLZ,Sublevel Wasserwerk / Stadtteile,"Sublevel
Straßennetz
(falls angegeben)","bei Dopplung 
Datenhalter jeweils
eintragen",Details,"Daten-Link
Wasserdaten",Natrium,Kalium,Calcium,Magnesium,Chlorid,Nitrat,Sulfat,"Härte
Wert","Härte
Bereich"
313.174,Mannheim,http://www.mannheim.de/,,Käfertal,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwkae.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","13,3",,113,"13,9","19,6","1,3","60,4",19,"hart 3,4"
313.174,Mannheim,http://www.mannheim.de/,68159,Rheinau,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwrh.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","33,1",,105,"20,6","42,5","20,8","84,3","19,4","hart 3,47"
313.174,Mannheim,http://www.mannheim.de/,68159,Schwetzinger Hardt,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwsh.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","7,74",,101,"17,2","13,4","1,1","45,5","18,1","hart 3,24"
164.351,Ludwigshafen,http://www.ludwigshafen.de/,67059,"Hemshof, Mitte, West, Süd, Gartenstadt, Mundenheim, Rheingönheim, Altrip",,,Wasserwerk I PARKINSEL,Trinkwasseranalyse,"37,6","2,6","92,3","12,8","35,2","1,6","11,7","15,8","hart 2,83"
164.351,Ludwigshafen,http://www.ludwigshafen.de/,67059,"Pfingstweide, Edigheim, Oppau, Oggersheim, Friesenheim, Ruchheim, Maudach",,,Wasserwerk II Maudach-Oggersheim,Trinkwasseranalyse,"29,9","2,4","62,8",8,"20,5","2,3","33,5","10,6","mittel 1,9"
147.312,Heidelberg,http://www.heidelberg.de/,69117,Schlierbach und Quellen,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,"14,2",,"43,8","7,7","24,8","2,3","27,8","3-8,4",weich
147.312,Heidelberg,http://www.heidelberg.de/,69117,Entensee und Rauschen,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,"13,6",,"101,6",18,"9,1","5,8","17,6",18-21,hart
147.312,Heidelberg,http://www.heidelberg.de/,69117,Rauschen und Hardt,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,,,,,,,,,hart
147.312,Heidelberg,http://www.heidelberg.de/,,Hardt,,,,,,,,,,,,,
81.736,Worms,http://www.worms.de/,67547,Wasserwerk im Bürstadter Wald,,,,http://ewr.de/fileadmin/Dateien/EWR_Netz_GmbH/Unternehmen/Standorte/Wasserwerk/Kundenanalyse_Worms_Stand_2013_1.pdf,"8,8","1,2",105,"11,1",17,<1,50,"17,6",hart
52.855,Neustadt a. d. Weinstraße,http://www.neustadt-weinstrasse.de/,67433,,,,,https://www.swneustadt.de/content/e7/e138/e147/e1044/e3210/TrinkwasseranalyseMitte2014.pdf,"10,5","2,5","29,7","5,3","10,9",,"17,7","5,4",weich
49.857,Speyer,http://www.speyer.de,67346,,,,,http://www.sws.speyer.de/cms/Preise_und_Leistungen/Wasser/Trinkwasseranalyse/Trinkwasseranalyse.html,"12,5","2,3","79,7","11,8",,"1,1",<5,"13,9",hart
46.793,Frankenthal,http://www.frankenthal.de/,67227,,,,,https://www.stw-frankenthal.de/fileadmin/user_upload/Wasseranalyse_ft_02_2014.pdf,"28,6","2,6","72,3","10,6","13,8",2,"12,3","12,5",mittel
43.682,Weinheim,http://www.weinheim.de/,69469,"Kernstadt, Sulzbach, Lützelsachsen, Hohensachsen, Waid, Ofling, Gorxheimertal",,,,http://www.sww.de/downloads/79/SWW_Wasser-Flyer_BadBergstr_web.pdf,"10,3",     - ,"87,4","11,7",8,"0,4",3,"14,9",hart
43.615,Landau,http://www.landau.de/,76829,,,,,http://www.landau-land.de/fileadmin/user_upload/redakteure/werke/trinkwasserqualitaet_2011_jan.pdf,,,,,,,,,
39.729,Bensheim,http://www.bensheim.de/,64625,,,,,http://www.ggew.de/UN/Energie_und_Wasser/Wasser/,"14,3","2,08",104,"14,6","25,2","1,3","52,7","17,9",hart
35.392,Sinsheim,http://www.sinsheim.de/,74889,,,,,,,,,,,,,,
32.601,Viernheim,http://www.viernheim.de/,,,,,,http://www.stadtwerke-viernheim.de/pdf/wasseranalyse.pdf,"11,9",,113,14,"18,7",1,"59,5","19,1",hart
31.337,Lampertheim,http://www.lampertheim.de/,68623,,,,,,,,,,,,,,
27.225,Leimen,http://www.leimen.de/,,,,,,,,,,,,,,,
26.034,Wiesloch,http://www.wiesloch.de/,69168,,,,,http://www.stadtwerke-wiesloch.de/servlet/PB/show/1650105/Analyse%20HPW.pdf,"8,2","1,2",121,"21,4","10,3",1,116,20,hart
25.266,Heppenheim,http://www.heppenheim.de/,64646,,,,,http://www.wzs-osthofen.de/FILES/UPLOAD/2013-Probe1.pdf,38,"3,3",104,"24,8",39,"0,7",66,"20,3",hart
24.490,Mosbach,http://www.mosbach.de/,74819,,,,,,,,,,,,,,
21.789,Schwetzingen,http://www.schwetzingen.de/,68723,Schwetzinger Hardt,,,,https://www.stadtwerke-schwetzingen.de/downloads/trinkwasser/trinkwasseranalyse_02_2014.pdf,"7,16",,"98,4","17,7","7,5","0,8",1,"17,8",hart
21.118,Hockenheim,http://www.hockenheim.de/,68758,Stadtwerke Hockenheim,,,,http://www.stadtwerke-hockenheim.de/cms/Trinkwasser/Trinkwasser-_analyse/Trinkwasseranalyse/Analyse-Hockenheimer-Trinkwass-Juli.pdf,10,"1,4",112,"14,4","19,6","2,5",,19,hart
20.588,Germersheim,http://www.germersheim.de/,76726,,,,,http://www.stw-ger.de/cms/Privat_-_und_Geschaeftskunden/Trinkwasser/Trinkwasseranalyse.html,"7,3","1,6","85,3",11,11,1,26,"14,5",hart
20.416,"Haßloch, Pfalz",http://www.hassloch.de/,67454,Benzenloch,,,,https://www.gwhassloch.de/emodul/project/upload/service/trinkwasseranalyse06.11.2013.pdf,"4,7","1,4","67,4","10,4",10,"4,1",13,"11,8",mittel
19.375,Schifferstadt,http://www.schifferstadt.de/,67105,,,,,,,,,,,,,,
18.774,Bad Dürkheim,http://www.bad-duerkheim.de/,67098,Annaberg,,,,http://www.sw-duerkheim.de/images/bad_duerkheim/swd_pdf/wasserwerk_annaberg_2013.pdf,"11,8","3,8","44,7","7,9",25,11,45,"8,1",weich
18.774,Bad Dürkheim,http://www.bad-duerkheim.de/,67098,Alte Schmelz,,,,http://www.sw-duerkheim.de/images/bad_duerkheim/swd_pdf/wasserwerk_alte%20schmelz_2013.pdf,"6,4","2,9","22,6","3,1",14,"2,3",10,"3,9",weich
18.774,Bad Dürkheim,http://www.bad-duerkheim.de/,67098,Köppel,,,,http://www.sw-duerkheim.de/images/bad_duerkheim/swd_pdf/wasserwerk_koeppel_2013.pdf,"9,8","3,5","29,3","5,7",21,"8,8",20,"5,4",weich
18.276,Buchen,http://www.buchen.de/,74722,,,,,http://www.swb4u.de/bos/swb/101737/2240/BWV_Jahresmittelwerte-2013.pdf,"5,4","1,4",50,8,"7,2",,33,9,mittel
17.268,Wörth,http://www.woerth.de/,76744,Bienenwald,,,,http://www.wasserzweckverband-bienwald.de/unser_Wasser.html,7,"0,8","85,8",16,19,15,20,"15,7",hart
15.541,Bürstadt,http://www.hessennet.de/buerstadt,68642,,,,,,,,,,,,,,
15.014,Eppelheim,http://www.eppelheim.de/,69214,,,,,http://www.eppelheim.de/images/bgi/dld/Wasseruntersuchung_01-07-2014_08-20-13.pdf,"21,7","2,56",137,23,38,"28,2","79,8","24,38",hart
14.917,Eberbach,http://www.eberbach.de/,69412,,,,,,,,,,,,,,
14.908,Schriesheim,http://www.schriesheim.de,69198,Bauhof,,,,http://www.schriesheim.de/fileadmin/Image_Archive/Stadtinformationen/Umwelt/WVE_Schriesheim_Bauhof_Periodisch_2011-08-10.pdf,"21,8","2,3","136,7","21,6","53,1","46,9","77,8","24,1",hart
14.908,Schriesheim,http://www.schriesheim.de,69198,Seitzmühle,,,,http://www.schriesheim.de/fileadmin/Image_Archive/Stadtinformationen/Umwelt/WVE_Schriesheim_Seitzmuehle_Periodisch_2011-08-10.pdf,"2,12","2,6","17,9","1,8","2,9","9,3","15,5","2,9",weich
14.908,Schriesheim,http://www.schriesheim.de,69198,Altenbach,,,,http://www.schriesheim.de/fileadmin/Image_Archive/Stadtinformationen/Umwelt/WVE_Schriesheim_Altenbach_Periodisch_2011-08-10.pdf,"9,78","2,07","109,1",16,17,"14,5","22,4","18,9",hart
14.824,Walldorf,http://www.walldorf.de/,69190,Hardt,,,,http://www.hardtgruppe.de/analysen/analyse%20140314.pdf,"10,5","1,8",130,"16,6",28,"9,6",117,"15,1",hart
14.542,Sandhausen,http://www.sandhausen.de/,69207,Hardt,,Walldorf,,http://www.hardtgruppe.de/analysen/analyse%20140314.pdf,"10,5","1,8",130,"16,6",28,"9,6",117,"15,1",hart
14.379,Edingen-Neckarhausen,http://www.edingen-neckarhausen.de/,68535,Pumpwerk Edingen 1,,,,http://www.edingen-neckarhausen.de/fileadmin/Dateien/Dateien/Pumpwerk1_01.pdf,"28,4","4,3",113,"16,6",52,"14,6",96,"19,6",hart
14.379,Edingen-Neckarhausen,http://www.edingen-neckarhausen.de/,68535,Pumpwerk Edingen 2,,,,http://www.edingen-neckarhausen.de/fileadmin/Dateien/Dateien/Pumpwerk2_01.pdf,"30,2","3,8",116,"19,6",57,"24,65",93,"20,4",hart
14.379,Edingen-Neckarhausen,http://www.edingen-neckarhausen.de/,68535,Pumpwerk Neckarhausen,,,,http://www.edingen-neckarhausen.de/fileadmin/Dateien/Dateien/Pumpwerk_Neckarhausen_01.pdf,"29,8","5,5",101,"17,6",50,19,103,"18,2",hart
14.159,Brühl,http://www.bruehl-baden.de/,50321,,,,,,,,,,,,,"20,67",hart
13.905,Neckargemünd,http://www.neckargemuend.de/,69151,Waldhilsbach,,,,,,,,,,,,,
13.050,Grünstadt,http://www.gruenstadt.de/,67269,,,,,http://www.swen-gruenstadt.de/produkte/wasser/wasserqualitaet,,"6,6","64,4","18,3",23,13,52,"13,2",hart
13.041,Lorsch,http://www.lorsch.de/,64653,"Einhausen, Fehlheim, Lorsch, Langwaden, Rodau, Schwanheim ",,,,http://www.riedgruppe-ost.de/de/analysen/feuersteinberg.php,"12,5","2,04","98,6",20,"13,4","1,1",10,"18,4","hart 3,28"
12.839,St. Leon-Rot,http://www.st-leon-rot.de/,68789,Hardtwald,,,,http://www.st-leon-rot.de/pb/site/st-leon-rot/get/1355742/Trinkwasseranalyse%20Stand%2005.02.2014.pdf,"10,6","1,3",121,"17,8",24,7,118,21,hart
12.782,Ketsch,http://www.ketsch.de/,68775,Schwetzinger Hardt,,,,http://www.wasserversorgung-kurpfalz.de/versorgung.html,,,,,,,,,
12.659,Mutterstadt,http://www.mutterstadt.de/,67112,,,,,,,,,,,,,,
12.507,Dossenheim,http://www.dossenheim.de/,69221,,,,,"http://cms7.dossenheim.de/pb/,Lde/175100.html",,,,,,,,"17,8",hart
12.290,Hemsbach a. d. Bergstr.,http://www.hemsbach.de/,69502,Wasserzweckverband Badische Bergstraße,"
",,,,,,,,,,,,
11.702,Walldürn,http://www.wallduern.de/,74731,Bodensee Wasserversorgung,,,,http://www.sw-wallduern.de/attachments/article/70/Jahresmittelwerte-2012-1.pdf,"5,2","1,4",48,8,7,"0,09",34,9,mittel
11.631,Heddesheim,http://www.heddesheim.de/,68542,,,,,http://www.heddesheim.de/de/Wirtschaft+Bauen/Ver--und-Entsorgung,"20,3",2,133,"24,8","50,1","42,9","74,6","24,3",hart
11.513,Ladenburg,http://www.ladenburg.de/,68526,,,,,http://www.ladenburg.de/fileadmin/user_upload/wasserwerte2013.pdf,"24,4","1,5","83,4","21,7","54,6","45,7",81,,
11.192,Oftersheim,http://www.oftersheim.de/,68735,,,,,,,,,,,,,,
10.915,Wald-Michelbach,http://www.ueberwald.eu/,69483,,,,,,,,,,,,,,
10.834,Limburgerhof,http://www.limburgerhof.de/,67117,Wasserwerk Waldsee,,,,,,,,,,,,,
10.700,Nußloch,http://www.nussloch.de/,69226,,,,,,,,,,,,,,
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,"Versorgungsbereich 1 a: Ellenbach, Lörzenbach Die Tiefzone TZ der Wasserversorgung Fürth umfasst die Anliegergrundstücke im nachfolgenden Bereich: Restflächen der nicht durch die Mittel- oder Hochzone abgedeckten Bereiche der Kerngemeinde Fürth sowie die Ortslagen von Ellenbach und Lörzenbach",,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","8,9","1,2",46,"8,5",17,18,"hart 5,","8,4",weich
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,"Versorgungsbereich 1 b:  Steinbach Die Mittelzone (MZ) und die Hochzone 
(HZ) der Wasserversorgung Fürth umfassen die Anliegergrundstücke im 
nachfolgenden Bereich: Johannisstraße, Denkmalstraße, Kröckelbacher 
Straße von Einmündung Erzbergstraße bis Ortsausgang Richtung 
Kröckelbach, Goethestraße,  Schillerstraße, Kettelerstraße,
Erzbergstraße bis Einmündung Kettelerstraße, Gerhart-Hauptmann-Straße, 
Siegfriedstraße bis Einmündung Guntherstraße, Kriemhildenstraße, 
Lindenbornstraße, Hagenstraße, Brunhildenstraße, Nibelungenstraße, Im 
Schaafacker, Guntherstraße, Breslauer Straße, Reichenberger Straße, 
Stettiner Straße, Königsberger Straße, Danziger Straße, Schützengasse, 
Verlängerung Pestalozzistraße und Humboldtstraße jeweils ab Kreuzung Am 
Langen Acker bis Einmündung Am Flutgraben, Steinbacher Straße ab 
Einmündung Goethestraße Ortsausgang Richtung Steinbach. Die Hochzone 
(HZ) der Wasserversorgung Fürth umfasst die Anliegergrundstücke im 
nachfolgenden Bereich: Siegfriedstraße von Einmündung Guntherstraße bis 
Wendeanlage, Erzbergstraße von Einmündung Kettelerstraße bis 
Wegekreuzung nach Altlechtern, Am Scheppel, Beethovenstraße, 
Mozartstraße und die gesamte Ortslage Steinbach.",,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","9,6","0,8",64,"9,1",25,24,22,"11,06",mittel
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,"Versorgungsbereich 2:  Erlenbach, Seidenbach, Linnenbach",,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","7,4","0,9",29,"4,1",5,8,25,"5,01",weich
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,Versorgungsbereich 3:  Fahrenbach,,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","7,7","0,6",42,"1,7",4,7,19,"6,27",weich
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,"Versorgungsbereich 4: Krumbach, Kröckelbach, Brombach",,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","6,9","3,4",55,"3,1",16,10,17,"8,24",weich
10.669,Fürth,http://www.gemeinde-fuerth.de/,64658,x,"Versorgungsbereich 5:  Weschnitz, Leberbach",,,"http://www.gemeinde-fuerth.de/gv_fuerth/Gesundheit,%20Soziales,%20Umwelt/Umwelt%20und%20Energie/Wasserversorgung/Wasseranalysenergebnisse%202013%2009.pdf","1,5","2,1",16,"0,9",3,4,8,"2,45",weich
10.482,"Herxheim-Hayna, Insheim",http://www.herxheim.de/,76863,x,,,"Verbandsgemeindewerke Herxheim: Brunnen Rohrbach, 2 Tiefbrunnen, 2 Brunnen; Zweckverband für Wasserversorgung Germersheimer Südgruppe, Jockgrim; Zweckverband für Wasserversorgung Impflinger Gruppe: 3 Quellen im Kaiserbachtal, Tiefbrunnen Impflingen",http://www.vg-herxheim.de/start/vg-werke/wasserversorgung/wasseranalysen/,6,"1,5",101,"18,7",22,18,31,,"hart 3,29"
10.482,Herxheimweyer,http://www.herxheim.de/,76863,x,,,"Verbandsgemeindewerke Herxheim: Brunnen Rohrbach, 2 Tiefbrunnen, 2 Brunnen; Zweckverband für Wasserversorgung Germersheimer Südgruppe, Jockgrim; Zweckverband für Wasserversorgung Impflinger Gruppe: Tiefbrunnen Impflingen",http://www.vg-herxheim.de/start/vg-werke/wasserversorgung/wasseranalysen/,"9,3","1,9","82,8","13,7","6,6",1,"10,6",,"mittelhart 2,63"
10.482,(Herxheim) Rohrbach,http://www.herxheim.de/,76863,x,,,"Verbandsgemeindewerke Herxheim: Brunnen Rohrbach, 2 Tiefbrunnen, 2 Brunnen; Zweckverband für Wasserversorgung Germersheimer Südgruppe, Jockgrim; Zweckverband für Wasserversorgung Impflinger Gruppe: Tiefbrunnen Impflingen",http://www.vg-herxheim.de/start/vg-werke/wasserversorgung/wasseranalysen/,4,"0,8","82,5","14,9","9,6","8,1",11,,"hart 3,3"
10.456,Böhl-Iggelheim,http://www.boehl-iggelheim.de/,67459,"Ortsteil Böhl: Pfälzische Mittelrheingruppe Schifferstadt
Ortsteil Iggelheim: Gemeindewerke Haßloch",,,,,,,,,,,,,
10.140,Mörlenbach,http://www.moerlenbach.de/,69509,Gemeindewerke Mörlenbach: Boveriestraße 6,siehe Link,,,http://www.moerlenbach.de/fileadmin/Dateien/Dateien/GB_60/Kopie_von_01_2014_Wasserhaerte_Moerlenbach_Strassenliste_Hochbehaelter.pdf,,,,,,,,,
10.029,Birkenau,http://www.birkenau.de/,69488,x,http://www.birkenau.de/_obj/917D967C-F049-4F1B-B780-E2CBEAE3E10A/inline/Versorgungsschema.pdf,,,http://www.birkenau.de/_obj/9B980F59-A532-47D7-8828-E1DCB4BDC03D/inline/Trinkwasseruntersuchungen-2014.pdf,"13,1","2,1","88,7","12,5",26,27,27,"15,3","hart, 3"
9.878,Bobenheim-Roxheim,http://www.bobenheim-roxheim.de/,67420,,,,,,,,,,,,,,
9.685,Plankstadt,http://www.plankstadt-baden.de/,68723,,,,,,,,,,,,,,
9.539,Hirschberg a. d. Bergstr.,http://www.hirschberg-bergstrasse.de/,69493,,,,,,,,,,,50,,,
9.305,Römerberg,http://www.roemerberg.de/,67354,Verbandsgemeinde Dudenhofen,,Dudenhofen,,http://www.vgrd.de/vg_rd/Werke/Wasser/Trinkwasseranalyse.pdf,"9,4","2,4","86,1","12,2",8,<1,8,"14,8","hart 2,65"
8.902,Dielheim,http://www.dielheim.de/,69234,,,,,http://www.dielheim.de/rathaus___buergerservice/online_formulare/formulare/Wasser_Dielheim.pdf,"7,7","0,8",139,"33,4",38,29,93,"27,2","hart 5,3"
,Horrenberg,http://www.dielheim.de/,69234,x,,,,"http://www.dielheim.de/rathaus___buergerservice/online_formulare/formulare/Wasser_Horrenberg_Chlor.pdf
http://www.dielheim.de/rathaus___buergerservice/online_formulare/formulare/Wasser_Horrenberg.pdf","8,9","0,7",124,"29,6",44,39,44,"Horrenberg: 24,2
Balzfeld, Unter- u. Oberhof: 26,2","Horrenberg: hart 4,3
Balzfeld, Unter- u. Oberhof: hart 4,74"
